ear,mar,label
0.29067093617632966,0.542465039098448,0
0.3403277869259005,0.6549468358094938,0
0.3416258250006524,0.5502547722443007,0
0.364672878492434,0.6265724993507368,0
0.3214614626413934,0.6118833834622105,0
0.28053498245501945,0.456112209922974,0
0.37156873873389407,0.6610092358747236,0
0.3412815956781927,0.7625675351499464,1
0.3260464373902655,0.6628094036667576,0
0.3217483604705249,0.5053364231452823,0
0.33066092672705805,0.6731091566589675,1
0.3360406599030923,0.699203557413415,0
0.3188235149706605,0.4889265498386806,0
0.3523875152267594,0.6392741943276975,0
0.3522633013233785,0.6410361699426096,0
0.3246053452167591,0.6253770338242133,0
0.2987724046591185,0.725840044976433,0
0.3196232843803455,0.6852524798000097,0
0.2779866072700513,0.6568679600954747,0
0.2788729441419206,0.727135090565745,0
0.3539457669926919,0.7011305182369691,0
0.34109741899554225,0.754349845165918,0
0.35937700023968966,0.7184660665852982,0
0.33415717696864844,0.598426865356263,0
0.3259763303030177,0.6934700429161004,0
0.3200984124487189,0.7335454031850848,0
0.31235664301738475,0.5647957748488104,0
0.370137796500589,0.676026962581003,0
0.3241995835915015,0.4123893555377177,0
0.38624311557669144,0.6431755773113507,0
0.38541277802849105,0.7141088300737796,0
0.36688601728475856,0.6083443222272049,0
0.34830303000803325,0.6901762166089952,0
0.3679686663980516,0.7313792523412487,0
0.33045081555628375,0.717552950223817,0
0.3666076939763996,0.7080801143193369,0
0.31191057779531806,0.6255508068741815,1
0.337296077513189,0.8201727817901506,0
0.36895068797436414,0.7752665588413619,0
0.357239293282796,0.7634050088608823,1
0.36426289241976373,0.7293324622515689,0
0.3361121634238962,0.7241111752608731,0
0.3480912369981165,0.688182060079566,0
0.328238809612877,0.7132482453271478,0
0.3602614290193882,0.7185943408925307,0
0.306899425847749,0.6668985296851659,0
0.3255540725825192,0.44794819999882485,0
0.30476739010820464,0.6011801562229346,1
0.34565323832445416,0.5856435084897629,1
0.35342998223613165,0.5962992792536567,0
0.34107329312327916,0.6442343938109515,0
0.31323676483112184,0.685004487168864,0
0.3603509870544454,0.5571246204746398,0
0.33999874438401323,0.5487772745169263,0
0.36877514880544027,0.6310245122767253,0
0.3475516723175572,0.6254990034259585,0
0.34802383159791184,0.7005142227322982,0
0.36763357424014986,0.7211256947244492,0
0.35301872594885775,0.5246194656796328,0
0.37314513803542115,0.6371345261915157,0
0.34150454977472017,0.6134644266782338,0
0.364580352481017,0.6324117620101254,0
0.38853862494414326,0.6268583393936702,0
0.3612793884812482,0.655439545136279,0
0.3753041669272587,0.6582893924741476,0
0.3341211269103145,0.5510467624683246,0
0.33525826160006683,0.5436941481399706,0
0.3872895744039954,0.5442573161524654,0
0.3445907098872626,0.48606001955748795,0
0.3287887831401518,0.4545266456417706,0
0.344287097324485,0.6094818973295203,0
0.3542628341847571,0.4900656177820029,0
0.34051480869225637,0.5543447304452332,0
0.3125655181985403,0.4321710926757806,1
0.34422356191503156,0.569096231841406,0
0.31788636281495297,0.5938143030885401,0
0.3523620811835475,0.5230110625636117,0
0.36265225009902374,0.41462429311098814,0
0.3556346829671044,0.46881123941761227,0
0.3014192879926764,0.4584951933472667,1
0.318041454495002,0.5366056587032813,0
0.2548420702697093,0.5235714332587041,0
0.34687659395653414,0.5072062418437058,0
0.33958978184483535,0.4869628487183177,0
0.36288283193018234,0.5219269737989715,0
0.3673812793645199,0.5314986475210862,0
0.2933258324351348,0.520474977144569,0
0.3540601133255047,0.607748322194707,0
0.3352107214981374,0.5365210113793752,0
0.36145441498589287,0.6595999076784242,0
0.40099721177461445,0.5852980615266521,0
0.3729496820725502,0.48010019365734546,0
0.36780565871306325,0.5961547677926865,0
0.3720608525031843,0.6162738711097714,0
0.3333497489912741,0.5103882738526179,0
0.38131382136749037,0.6207342342550265,0
0.23635484186490882,0.5531138077372217,0
0.3709776276534693,0.6249596715159041,0
0.37999952344709587,0.6887686791588403,0
0.372448225734448,0.5672386265500713,0
0.38805021757717173,0.5953843599690029,0
0.3589087676083964,0.544936582004619,0
0.34910763330190797,0.6814161003118109,1
0.3798168174637433,0.6960120907126099,0
0.38356470168738965,0.5775058698607233,1
0.3753521246125713,0.6047109529075115,0
0.3752968270966574,0.6238782704685905,0
0.35164625764539026,0.6189275904632809,0
0.3452325086575677,0.4885681749464317,0
0.3424566804939791,0.6222685295900164,0
0.3711543948915225,0.47239130669652,0
0.35987021248493406,0.5626045225720844,1
0.39327556357482396,0.5863148908933296,0
0.38368692853936526,0.6236721570232472,0
0.3606986096408353,0.5431840029742988,0
0.37133616711001094,0.48748393113670396,0
0.4001291377949735,0.3989356129788502,0
